topic,rank,word,phi,raw_weight
T8,36,진입,0.00492362,69.1000
T8,37,최다,0.00492362,69.1000
T8,38,정규,0.00455611,63.9422
T8,39,차지,0.00440782,61.8611
T8,40,2026년,0.00439768,61.7187
T8,41,음악방송,0.00430631,60.4364
T8,42,2위,0.00406858,57.0999
T8,43,돌파,0.00400054,56.1451
T8,44,달성,0.00394059,55.3037
T8,45,음원,0.00388376,54.5062
T8,46,인증,0.00364148,51.1059
T8,47,판매되,0.00364106,51.1000
T8,48,가온,0.00349855,49.1000
T8,49,부문,0.00347257,48.7354
T8,50,미니,0.0033999,47.7156
T9,1,출연,0.0368132,399.7297
T9,2,예능,0.0266247,289.0999
T9,3,영화,0.0141898,154.0782
T9,4,mbc,0.0120113,130.4231
T9,5,활동,0.0110795,120.3048
T9,6,sbs,0.00999087,108.4842
T9,7,출연해,0.00981872,106.6150
T9,8,드라마,0.00958,104.0229
T9,9,멤버,0.00951503,103.3175
T9,10,프로그램,0.00853793,92.7078
T9,11,kbs,0.0071983,78.1616
T9,12,나무위키,0.00701959,76.2211
T9,13,방송,0.00685719,74.4577
T9,14,함께,0.00640398,69.5366
T9,15,mc,0.00627167,68.0999
T9,16,2024년,0.00594929,64.5994
T9,17,문서,0.00586549,63.6894
T9,18,jtbc,0.00583203,63.3261
T9,19,다수,0.00554777,60.2396
T9,20,음악,0.00554424,60.2013
T9,21,kbs2,0.00553491,60.0999
T9,22,2021년,0.0049956,54.2439
T9,23,리얼리티,0.00459416,49.8849
T9,24,참여,0.00428746,46.5547
T9,25,배우,0.00427135,46.3798
T9,26,시리즈,0.00425031,46.1513
T9,27,tvn,0.00413429,44.8915
T9,28,역으,0.0039693,43.1000
T9,29,주연,0.0039334,42.7102
T9,30,방송된,0.0038772,42.0999
T9,31,출연했,0.0037851,41.0999
T9,32,게스트,0.00362192,39.3280
T9,33,2018년,0.00361477,39.2504
T9,34,고정,0.00360092,39.1000
T9,35,tv,0.00352294,38.2533
T9,36,특집,0.00348109,37.7988
T9,37,가수,0.00346959,37.6739
T9,38,이효리,0.00334466,36.3175
T9,39,우승,0.00331979,36.0474
T9,40,exo,0.003107,33.7368
T9,41,프로젝트,0.00298647,32.4281
T9,42,mnet,0.00297202,32.2712
T9,43,출연했으,0.00297159,32.2665
T9,44,전원,0.00293323,31.8500
T9,45,맡았,0.00291146,31.6136
T9,46,2023년,0.00288249,31.2990
T9,47,방영,0.00286415,31.0999
T9,48,출연한,0.00285199,30.9678
T9,49,2015년,0.00284471,30.8889
T9,50,2022년,0.00284319,30.8724
