doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
528,에픽하이,loyalty,9,7
529,에픽하이,loyalty,10,15
530,에픽하이,loyalty,11,20
531,에픽하이,loyalty,12,22
532,에픽하이,loyalty,13,23
533,에픽하이,loyalty,14,10
534,에픽하이,loyalty,15,23
535,에픽하이,loyalty,16,17
536,에픽하이,loyalty,17,20
537,에픽하이,loyalty,18,12
538,에픽하이,loyalty,19,19
539,에픽하이,loyalty,20,9
540,에픽하이,loyalty,21,9
541,에픽하이,loyalty,22,8
542,에픽하이,loyalty,23,5
543,에픽하이,loyalty,24,13
544,에픽하이,loyalty,25,9
545,에픽하이,loyalty,26,10
546,에픽하이,loyalty,27,9
547,에픽하이,loyalty,28,8
548,에픽하이,loyalty,29,8
549,에픽하이,loyalty,30,8
550,에픽하이,loyalty,31,12
551,에픽하이,loyalty,32,8
552,에픽하이,loyalty,33,8
553,에픽하이,loyalty,34,14
554,에픽하이,loyalty,35,10
555,에픽하이,loyalty,36,12
556,에픽하이,loyalty,37,33
557,에픽하이,loyalty,38,33
558,에픽하이,loyalty,39,14
559,에픽하이,loyalty,40,11
560,에픽하이,loyalty,41,6
561,에픽하이,loyalty,42,11
562,에픽하이,loyalty,43,17
563,에픽하이,loyalty,44,37
564,에픽하이,loyalty,45,33
565,에픽하이,spillover,0,14
566,에픽하이,spillover,1,22
567,에픽하이,spillover,2,15
568,에픽하이,spillover,3,23
569,에픽하이,spillover,4,26
570,에픽하이,spillover,5,18
571,에픽하이,spillover,6,13
572,에픽하이,spillover,7,9
573,에픽하이,spillover,8,9
574,에픽하이,spillover,9,16
575,에픽하이,spillover,10,8
576,에픽하이,spillover,11,11
577,에픽하이,spillover,12,11
578,에픽하이,spillover,13,19
579,에픽하이,spillover,14,9
580,에픽하이,spillover,15,7
581,에픽하이,spillover,16,11
582,에픽하이,spillover,17,8
583,에픽하이,spillover,18,13
584,에픽하이,spillover,19,15
585,에픽하이,spillover,20,10
586,에픽하이,spillover,21,8
587,에픽하이,spillover,22,11
588,에픽하이,spillover,23,28
589,에픽하이,spillover,24,29
590,에픽하이,spillover,25,6
591,에픽하이,spillover,26,22
592,에픽하이,spillover,27,35
593,에픽하이,spillover,28,11
594,에픽하이,spillover,29,10
595,에픽하이,spillover,30,18
596,에픽하이,spillover,31,14
597,에픽하이,spillover,32,12
598,에픽하이,spillover,33,32
599,에픽하이,spillover,34,35
600,에픽하이,spillover,35,20
601,에픽하이,spillover,36,13
602,에픽하이,spillover,37,36
603,에픽하이,spillover,38,33
604,에픽하이,spillover,39,20
605,에픽하이,spillover,40,38
606,악동뮤지션,loyalty,0,16
607,악동뮤지션,loyalty,1,13
608,악동뮤지션,loyalty,2,33
609,악동뮤지션,loyalty,3,17
610,악동뮤지션,loyalty,4,23
611,악동뮤지션,loyalty,5,26
612,악동뮤지션,loyalty,6,15
613,악동뮤지션,loyalty,7,21
614,악동뮤지션,loyalty,8,13
615,악동뮤지션,loyalty,9,24
616,악동뮤지션,loyalty,10,15
617,악동뮤지션,loyalty,11,25
618,악동뮤지션,loyalty,12,29
