팬덤,구분,근거문장수,뉴스매체문장수,뉴스매체비중,고유매체수,매체다양성비율,상위매체1,상위매체2,상위매체3
임영웅,트로트,131,121,0.9237,60,0.4959,starnewskorea.com,hankyung.com,biz.heraldcorp.com
EXO,K-pop 보이그룹,121,88,0.7273,59,0.6705,v.daum.net,segye.com,detik.com
SEVENTEEN,K-pop 보이그룹,157,87,0.5541,56,0.6437,v.daum.net,oricon.co.jp,infobae.com
엔믹스,K-pop 걸그룹,110,80,0.7273,55,0.6875,infobae.com,detik.com,v.daum.net
소녀시대,K-pop 걸그룹,122,66,0.541,54,0.8182,natalie.mu,barks.jp,oricon.co.jp
워너원,K-pop 보이그룹,123,87,0.7073,53,0.6092,v.daum.net,oricon.co.jp,hankookilbo.com
아이유,솔로,110,75,0.6818,52,0.6933,v.daum.net,oricon.co.jp,news.mt.co.kr
아일릿,K-pop 걸그룹,107,81,0.757,52,0.642,v.daum.net,sports.khan.co.kr,oricon.co.jp
이효리,솔로,120,72,0.6,52,0.7222,v.daum.net,sisajournal.com,starnewskorea.com
IVE,K-pop 걸그룹,100,63,0.63,51,0.8095,thairath.co.th,v.daum.net,yesasia.ru
레드벨벳,K-pop 걸그룹,118,79,0.6695,51,0.6456,infobae.com,thairath.co.th,topstarnews.net
에픽하이,힙합,87,69,0.7931,51,0.7391,sports.khan.co.kr,nbcnews.com,hiphopkr.com
ITZY,K-pop 걸그룹,107,68,0.6355,50,0.7353,infobae.com,v.daum.net,kompas.com
지코,힙합,101,74,0.7327,50,0.6757,v.daum.net,sanook.com,news1.kr
DAY6,K-pop 보이그룹 /록,101,71,0.703,48,0.6761,m.heraldmuse.com,sports.khan.co.kr,starnewskorea.com
GOT7,K-pop 보이그룹,107,85,0.7944,48,0.5647,hellokpop.com,allkpop.com,soompi.com
QWER,K-pop 걸그룹,103,64,0.6214,47,0.7344,v.daum.net,sports.khan.co.kr,detik.com
아이오아이,K-pop 걸그룹,95,68,0.7158,47,0.6912,v.daum.net,starnewskorea.com,harpersbazaar.co.kr
정동원,트로트,107,77,0.7196,47,0.6104,v.daum.net,allkpop.com,munhwa.com
A-pink,K-pop 걸그룹,95,57,0.6,46,0.807,v.daum.net,manilaconcertjunkies.com,oricon.co.jp
